#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
20,Institute of Management Technology (IMT) Nagpur,"PGDM (Marketing, Finance, Operations, HR, Business Analytics)",Nagpur,"35 Km Milestone, Katol Road, Nagpur, Maharashtra 441502",+91-712-2805000 | contact@imtnagpur.ac.in,https://www.imtnagpur.ac.in/,Maharashtra
21,Jamnalal Bajaj Institute of Management Studies (JBIMS),"MMS (equivalent to MBA) – Marketing, Finance, HR, Operations, Systems",Mumbai,"164, Backbay Reclamation, H.T. Parekh Marg, Churchgate, Mumbai, Maharashtra 400020",+91-9326234746 | admin@jbims.edu,https://jbims.edu/,Maharashtra
22,Department of Management Sciences (PUMBA),"MBA (Marketing, Finance, HR, Operations, IT, International Business)",Pune,"Ganeshkhind, Pune, Maharashtra 411007",020-25622043 | hodpumba@unipune.ac.in,https://www.pumba.in/,Maharashtra
23,Symbiosis Institute of Business Management (SIBM) Pune,"MBA (Marketing, Finance, HR, Operations, Business Analytics)",Pune,"Gram Lavale, Tal Mulshi, Pune, Maharashtra 412115",admissionsteam@sibmpune.edu.in,https://sibm.edu/,Maharashtra
24,Indian Institute of Information Technology (IIIT) Pune,"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering, Information Technology)",Pune,"Survey No. 9/1/3, Ambegaon Budruk, Sinhagad Institute Road, Pune, Maharashtra 411041",+91-9404542134 | enquiry@iiitp.ac.in,https://www.iiitp.ac.in/,Maharashtra
25,International Institute of Information Technology Nagpur (IIIT Nagpur),"B.Tech (Computer Science & Engineering, Electronics & Communication, Data Science & AI)",Nagpur,"Survey No. 140,141/1 behind Br. Sheshrao Wankhede Shetkari Sahakari Soot Girni, Waranga, Nagpur, Maharashtra 441108",-2805821,https://www.iiitn.ac.in/,Maharashtra
26,Prof. Ram Meghe Institute of Technology & Research,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil, Electrical, AI & DS)",Amravati,"Anjangaon Bari Road, Badnera, Amravati, Maharashtra 444701",+91-721-2681246 | principal@mitra.ac.in,https://mitra.ac.in/,Maharashtra
27,P. R. Pote Patil College of Engineering & Management,"B.Tech (Computer, Electronics & Telecommunication, Mechanical, Civil, Electrical, AI & ML)",Amravati,"Shri Gajanan Township, Pote Estate, Kathora Road, Amravati, Maharashtra 444604",-2530714,https://prpotepatilengg.ac.in/,Maharashtra
28,Sipna Shikshan Prasarak Mandal College of Engineering & Technology,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil, Electrical)",Amravati,"Sipna Campus, Infront of Nemani Godown, Badnera Road, Amravati, Maharashtra 444701",Not Available (after search),https://sipnaengg.ac.in/,Maharashtra
29,Shri Shivaji Education Society's College of Engineering and Technology,"B.Tech (Computer, Mechanical, Civil, Electrical, Electronics & Telecommunication)",Akola,"Babhulgaon (Jn.), Murtizapur Road, NH-6, Akola, Maharashtra 444104",-2259657,https://sscet.ac.in/,Maharashtra
30,Janata Shikshan Prasarak Mandal's Babasaheb Naik College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electrical, Electronics & Telecommunication)",Yavatmal,"Kalra Road, Pusad, Dist. Yavatmal, Maharashtra 445215",-253290,https://bncoe.ac.in/,Maharashtra
31,"Government College of Engineering, Amravati","B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer Science, Information Technology)",Amravati,"VMV Road, Kathora Naka, Amravati, Maharashtra 444604",-2662838,https://gcoea.ac.in/,Maharashtra
32,"Sant Gadge Baba Amravati University, Department of Engineering","B.Tech (Computer Science, Information Technology, Electronics & Telecommunication)",Amravati,"Camp Area, Near Tapovan, Amravati, Maharashtra 444602",-2662803,https://www.sgbau.ac.in/,Maharashtra
33,"Government College of Engineering, Yavatmal","B.Tech (Civil, Mechanical, Computer, Electrical)",Yavatmal,"Darwha Road, Yavatmal, Maharashtra 445001",Not Available (after search),https://gcoey.ac.in/,Maharashtra
34,Shri Sant Gajanan Maharaj College of Engineering,"B.Tech (Computer, Electronics & Telecommunication, Mechanical, Civil, Electrical)",Buldhana,"Shegaon, Dist. Buldhana, Maharashtra 444203",-259390,https://ssgmce.ac.in/,Maharashtra
35,Jawaharlal Darda Institute of Engineering and Technology,"B.Tech (Computer, IT, Mechanical, Civil, Electrical)",Yavatmal,"Lohara, Yavatmal, Maharashtra 445001",-256953,https://jdiet.ac.in/,Maharashtra
36,"Government College of Engineering, Chhatrapati Sambhajinagar","B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer)",Aurangabad,"Railway Station Road, Osmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005",-2366250,https://geca.ac.in/,Maharashtra
37,PURANMAL LAHOTI GOVERNMENT INSTITUTE OF ENGINEERING AND TECHNOLOGY,"B.Tech (Civil, Mechanical, Computer, Electrical)",Latur,"Ausa Road, Latur, Maharashtra 413512",Not Available (after search),https://pgiet.ac.in/,Maharashtra
38,Shri Guru Gobind Singhji Institute of Engineering and Technology,"B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer, Information Technology, Chemical)",Nanded,"Vishnupuri, Nanded, Maharashtra 431606",-271372,https://www.sggs.ac.in/,Maharashtra
39,"Institute of Chemical Technology, Mumbai Marathwada Campus","B.Tech (Chemical, Food Technology, Polymer)",Jalna,"Jalna, Maharashtra 431203",Not Available (after search),https://www.ictmumbai.edu.in/,Maharashtra
40,G. S. Mandal's Maharashtra Institute of Technology,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication, IT)",Aurangabad,"Beed Bypass Road, Aurangabad, Maharashtra 431028",-2375959,https://www.mit.asia/,Maharashtra
41,Deogiri Institute of Engineering and Management Studies,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication)",Aurangabad,"Station Road, Aurangabad, Maharashtra 431005",-2351850,https://www.dietms.org/,Maharashtra
42,M.S. Bidve Engineering College,"B.Tech (Computer, Mechanical, Civil, Electrical, Electronics)",Latur,"Barshi Road, Latur, Maharashtra 413512",-224137,https://msbecl.ac.in/,Maharashtra
43,Terna Public Charitable Trust's College of Engineering,"B.Tech (Computer, IT, Mechanical, Civil, Electronics & Telecommunication)",Osmanabad,"Osmanabad, Maharashtra 413501",Not Available (after search),https://www.ternaengg.ac.in/,Maharashtra
44,Mahatma Basaweshwar Education Society's College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electronics)",Beed,"Ambejogai, Dist. Beed, Maharashtra 431517",-247499,https://coea.ac.in/,Maharashtra
45,Peoples Education Society's College of Engineering,"B.Tech (Computer, Mechanical, Civil, IT)",Aurangabad,"Aurangabad, Maharashtra 431001",Not Available (after search),https://www.pescoe.ac.in/,Maharashtra
46,Hi-Tech Institute of Technology,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication)",Aurangabad,"Aurangabad, Maharashtra 431001",Not Available (after search),https://www.hitechengg.edu.in/,Maharashtra
47,Aditya Engineering College,"B.Tech (Computer, Mechanical, Civil, Electrical)",Beed,"Beed, Maharashtra 431122",Not Available (after search),https://www.adityaengg.edu.in/,Maharashtra
48,Sardar Patel College of Engineering,"B.Tech (Civil, Mechanical, Electrical)",Mumbai,"Andheri West, Mumbai, Maharashtra 400058",-26289708,https://www.spce.ac.in/,Maharashtra
49,Dr. Babasaheb Ambedkar Technological University,"B.Tech (Civil, Mechanical, Electrical, Chemical, Computer, Electronics & Telecommunication)",Raigad,"Lonere, Dist. Raigad, Maharashtra 402103",-277191,https://www.dbatu.ac.in/,Maharashtra
50,Rajiv Gandhi Institute of Technology,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical)",Mumbai,"Andheri, Mumbai, Maharashtra 400053",-26706956,https://www.rgit.ac.in/,Maharashtra
51,Vidyalankar Institute of Technology,"B.Tech (Computer, IT, Electronics & Telecommunication, Biomedical, AI & DS)",Mumbai,"Wadala, Mumbai, Maharashtra 400037",-24161057,https://www.vit.edu.in/,Maharashtra
52,Thakur Shyamnarayan Engineering College,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical)",Mumbai,"Kandivali, Mumbai, Maharashtra 400101",Not Available (after search),https://tsengg.ac.in/,Maharashtra
53,Annasaheb Chudaman Patil College of Engineering,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil)",Navi Mumbai,"Kharghar, Navi Mumbai, Maharashtra 410210",-27745653,https://www.acpce.ac.in/,Maharashtra
54,Yadavrao Tasgaonkar Institute of Engineering & Technology,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical)",Raigad,"Karjat, Dist. Raigad, Maharashtra 410201",Not Available (after search),https://www.ytiet.ac.in/,Maharashtra
55,Shah & Anchor Kutchhi Engineering College,"B.Tech (Computer, IT, Electronics & Telecommunication)",Mumbai,"Chembur, Mumbai, Maharashtra 400088",-25580785,https://www.shahanchor.ac.in/,Maharashtra
56,Fr. Conceicao Rodrigues College of Engineering,"B.Tech (Computer, Electronics & Telecommunication, Mechanical, IT)",Mumbai,"Bandra, Mumbai, Maharashtra 400050",-26424360,https://www.frcricoe.edu.in/,Maharashtra
57,Vivekanand Education Society's Institute of Technology,"B.Tech (Computer, IT, Electronics & Telecommunication, Electronics, AI & DS)",Mumbai,"Chembur, Mumbai, Maharashtra 400074",-25227569,https://www.vesit.edu/,Maharashtra
58,Datta Meghe College of Engineering,"B.Tech (Computer, IT, Electronics & Telecommunication, Civil, Mechanical)",Navi Mumbai,"Airoli, Navi Mumbai, Maharashtra 400708",-27691593,https://www.dmce.ac.in/,Maharashtra
59,Vasantdada Patil Pratishthan's College of Engineering,"B.Tech (Computer, Electronics & Telecommunication, Mechanical)",Mumbai,"Sion, Mumbai, Maharashtra 400022",-24020787,https://www.vppcoe.ac.in/,Maharashtra
60,Bharati Vidyapeeth College of Engineering,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil)",Navi Mumbai,"Kharghar, Navi Mumbai, Maharashtra 410210",Not Available (after search),https://bvcoenm.edu.in/,Maharashtra
61,Terna Engineering College,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil)",Navi Mumbai,"Nerul, Navi Mumbai, Maharashtra 400706",-61115331,https://www.ternaengg.ac.in/,Maharashtra
62,Smt. Indira Gandhi College of Engineering,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical)",Navi Mumbai,"Koparkhairane, Navi Mumbai, Maharashtra 400709",-27543539,https://www.sigce.edu.in/,Maharashtra
63,Shivajirao S. Jondhale College of Engineering,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil)",Thane,"Dombivli, Thane, Maharashtra 421204",-2481704,https://www.ssjcoe.edu.in/,Maharashtra
64,Vidyavardhini's College of Engineering and Technology,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil)",Palghar,"Vasai, Dist. Palghar, Maharashtra 401202",-2338393,https://www.vcet.edu.in/,Maharashtra
65,Lokmanya Tilak College of Engineering,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical)",Navi Mumbai,"Koparkhairane, Navi Mumbai, Maharashtra 400709",-27540936,https://www.ltce.in/,Maharashtra
66,Fr. C. Rodrigues Institute of Technology,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical)",Navi Mumbai,"Vashi, Navi Mumbai, Maharashtra 400703",-27661855,https://www.fcrit.ac.in/,Maharashtra
67,"Government College of Engineering, Karad","B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer, Information Technology)",Satara,"Vidyanagar, Karad, Dist. Satara, Maharashtra 415124",-274487,https://www.gcekarad.ac.in/,Maharashtra
68,Walchand Institute of Technology,"B.Tech (Civil, Mechanical, Electronics & Telecommunication, Computer, Information Technology)",Solapur,"Ashok Chowk, Solapur, Maharashtra 413006",-2651514,https://www.witsolapur.org/,Maharashtra
69,Karmaveer Bhaurao Patil College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication)",Satara,"Varye, Satara, Maharashtra 415015",Not Available (after search),https://www.kbpcoes.edu.in/,Maharashtra
70,Rajarambapu Institute of Technology,"B.Tech (Computer, IT, Mechanical, Civil, Electrical, Electronics & Telecommunication)",Sangli,"Rajaramnagar, Sakharale, Dist. Sangli, Maharashtra 415414",-222580,https://www.ritindia.edu/,Maharashtra
71,Annasaheb Dange College of Engineering & Technology,"B.Tech (Computer, Mechanical, Civil, Electrical, Electronics & Telecommunication)",Sangli,"Ashta, Dist. Sangli, Maharashtra 416301",-243368,https://www.adcet.in/,Maharashtra
72,Sanjivani College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication, IT)",Ahmednagar,"Kopargaon, Dist. Ahmednagar, Maharashtra 423603",-225194,https://sanjivanicoe.org.in/,Maharashtra
73,Amrutvahini College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication, Electrical)",Ahmednagar,"Sangamner, Dist. Ahmednagar, Maharashtra 422608",-261348,https://www.avcoe.org/,Maharashtra
74,Pravara Rural Engineering College,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication, Electrical, Chemical)",Ahmednagar,"Loni, Dist. Ahmednagar, Maharashtra 413736",-275790,https://www.pravaraengg.org.in/,Maharashtra
75,Sandip Institute of Technology & Research Centre,"B.Tech (Computer, IT, Mechanical, Civil, Electronics & Telecommunication, AI & DS)",Nashik,"Mahiravani, Trimbak Road, Nashik, Maharashtra 422213",-225055,https://www.sandipuniversity.edu.in/,Maharashtra
76,R. H. Sapat College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication)",Nashik,"Nashik, Maharashtra 422005",Not Available (after search),https://www.rhscoe.ac.in/,Maharashtra
77,Matoshri College of Engineering and Research Centre,"B.Tech (Computer, IT, Mechanical, Civil, Electronics & Telecommunication)",Nashik,"Eklahare, Nashik, Maharashtra 422105",-2406762,https://www.matoshri.edu.in/,Maharashtra
78,Late G. N. Sapkal College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication)",Nashik,"Anjaneri, Nashik, Maharashtra 422213",Not Available (after search),https://www.sapkalknowledgehub.org/,Maharashtra
79,Yeshwantrao Chavan College of Engineering,"B.Tech (Computer, IT, Mechanical, Civil, Electrical, Electronics & Telecommunication, AI & DS)",Nagpur,"Hingna Road, Wanadongri, Nagpur, Maharashtra 441110",-302096,https://www.ycce.edu/,Maharashtra
80,G. H. Raisoni College of Engineering,"B.Tech (Computer, IT, Mechanical, Civil, Electronics & Telecommunication, AI & ML)",Nagpur,"Digdoh Hills, Hingna Road, Nagpur, Maharashtra 440016",-243113,https://ghrce.raisoni.net/,Maharashtra
81,Ramdeobaba College of Engineering and Management,"B.Tech (Computer, IT, Mechanical, Civil, Electrical, Electronics & Telecommunication, AI & DS)",Nagpur,"Gittikhadan, Katol Road, Nagpur, Maharashtra 440013",-2580632,https://www.rknec.edu/,Maharashtra
82,Priyadarshini College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electrical, Electronics & Telecommunication)",Nagpur,"Hingna Road, Nagpur, Maharashtra 440019",-244650,https://www.pcenagpur.edu.in/,Maharashtra
83,"Government College of Engineering, Nagpur","B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer)",Nagpur,"Sector 27, Nagpur, Maharashtra 440015",Not Available (after search),https://gcoen.ac.in/,Maharashtra
84,Laxminarayan Institute of Technology,"B.Tech (Chemical, Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer, Polymer)",Nagpur,"Amravati Road, Nagpur, Maharashtra 440033",-2532280,https://www.litnagpur.in/,Maharashtra
85,Dr. Babasaheb Ambedkar College of Engineering and Research,"B.Tech (Computer, Mechanical, Civil, Electrical, Electronics)",Nagpur,"Wanadongri, Nagpur, Maharashtra 441110",Not Available (after search),https://www.dbacer.edu.in/,Maharashtra
86,St. Vincent Pallotti College of Engineering and Technology,"B.Tech (Computer, IT, Mechanical, Electronics & Telecommunication)",Nagpur,"Gavsi Manapur, Wardha Road, Nagpur, Maharashtra 441108",-273063,https://www.stvincentngp.edu.in/,Maharashtra
87,Jhulelal Institute of Technology,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication)",Nagpur,"Lonikand, Nagpur, Maharashtra 441111",Not Available (after search),https://www.jitnagpur.edu.in/,Maharashtra
88,"S.B. Jain Institute of Technology, Management & Research","B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil)",Nagpur,"Yerla, Katol Road, Nagpur, Maharashtra 441501",-249285,https://www.sbjit.edu.in/,Maharashtra
89,Cummins College of Engineering for Women,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Electronics)",Nagpur,"Mokhada, Nagpur, Maharashtra 441106",Not Available (after search),https://www.ccoew-nagpur.edu.in/,Maharashtra
90,Rashtrasant Tukadoji Maharaj Nagpur University Department,"B.Tech (Computer Science, Information Technology)",Nagpur,"Ravindranath Tagore Marg, Nagpur, Maharashtra 440001",-2512271,https://www.nagpuruniversity.ac.in/,Maharashtra
91,"Government College of Engineering, Chandrapur","B.Tech (Civil, Mechanical, Electrical, Computer, Mining)",Chandrapur,"Ballarpur Road, Chandrapur, Maharashtra 442403",Not Available (after search),https://www.gcoec.ac.in/,Maharashtra
92,"Government College of Engineering, Jalgaon","B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer)",Jalgaon,"Jalgaon, Maharashtra 425001",Not Available (after search),https://www.gcoej.ac.in/,Maharashtra
93,Dr. J. J. Magdum College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication)",Kolhapur,"Jaysingpur, Dist. Kolhapur, Maharashtra 416101",-224056,https://www.jjmcoe.ac.in/,Maharashtra
94,Tatyasaheb Kore Institute of Engineering and Technology,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication, Electrical)",Kolhapur,"Warnanagar, Dist. Kolhapur, Maharashtra 416113",-226249,https://www.tkiet.ac.in/,Maharashtra
95,D. Y. Patil College of Engineering,"B.Tech (Computer, IT, Mechanical, Civil, Electronics & Telecommunication)",Kolhapur,"Kasaba Bawada, Kolhapur, Maharashtra 416006",-2601571,https://www.dypkopengg.ac.in/,Maharashtra
96,Sharad Institute of Technology College of Engineering,"B.Tech (Computer, Mechanical, Civil, Electronics & Telecommunication)",Kolhapur,"Yadrav, Ichalkaranji, Dist. Kolhapur, Maharashtra 416121",-255231,https://www.sitcoe.ac.in/,Maharashtra
97,D. K. T. E. Society's Textile & Engineering Institute,"B.Tech (Textile Technology, Computer, Mechanical, Civil, Electronics & Telecommunication, Textile Plant Engineering)",Kolhapur,"Ichalkaranji, Dist. Kolhapur, Maharashtra 416115",-2421439,https://www.dktes.com/,Maharashtra
98,"Government College of Engineering, Karad (repeated for completeness)","B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer, IT)",Satara,"Vidyanagar, Karad, Dist. Satara, Maharashtra 415124",-274487,https://www.gcekarad.ac.in/,Maharashtra
99,Rajarambapu Institute of Technology (repeated for completeness),"B.Tech (Computer, Mechanical, Civil, Electrical, Electronics & Telecommunication, IT)",Sangli,"Rajaramnagar, Sakharale, Dist. Sangli, Maharashtra 415414",-222580,https://www.ritindia.edu/,Maharashtra
100,Dr. D. Y. Patil Institute of Technology (repeated for completeness),"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil, AI & DS) + MBA",Pune,"Sant Tukaram Nagar, Pimpri, Pune, Maharashtra 411018",+91-20-27805298 | engg@dypvp.edu.in,https://engg.dypvp.edu.in/,Maharashtra
