#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Jodhpur,"B.Tech (Computer Science, Electrical, Mechanical, AI & Data Science, Chemical, Civil, Materials, Bioengineering)",Jodhpur,"NH 65, Surpura, Jodhpur, Rajasthan 342037",-2801335,https://www.iitj.ac.in/,Rajasthan
12,Banasthali Vidyapith,"B.Tech (Computer Science, Electronics & Communication, Electrical & Electronics, Biotechnology, Chemical, Mechatronics)",Tonk,"P.O. Banasthali Vidyapith, Tonk, Rajasthan 304022",+91-1438-228477 | pchitra@banasthali.ac.in,https://www.banasthali.org/,Rajasthan
13,JECRC University,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, AI & ML), MBA (Marketing, Finance)",Jaipur,"Plot No. IS-2036 to IS-2039, Ramchandrapura Industrial Area, Sitapura, Jaipur, Rajasthan 303905",+91-9829017763 | admission@jecrcu.edu.in,https://jecrcuniversity.edu.in/,Rajasthan
14,Vivekananda Global University,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Robotics), MBA (Marketing, Finance, HR)",Jaipur,"Sector 36, Sisyawas, NRI Road, Jagatpura, Jaipur, Rajasthan 303012",+91-141-2851000 | admissions@vgu.ac.in,https://vgu.ac.in/,Rajasthan
15,Manipal University Jaipur,"B.Tech (Automobile, Chemical, Civil, Computer Science, Electrical & Electronics, Electronics & Communication, IT, Mechanical), MBA (Marketing, Finance, HR)",Jaipur,"Dehmi Kalan, Off Jaipur-Ajmer Expressway, Jaipur, Rajasthan 303007",+91-141-3999100 | admissions@jaipur.manipal.edu,https://jaipur.manipal.edu/,Rajasthan
16,Apex University,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, AI & DS)",Jaipur,"Jaipur-Ajmer Express Way, Jaipur, Rajasthan 303002",+91-141-6660999 | admission@apexuniversity.co.in,https://www.apexuniversity.co.in/,Rajasthan
17,Poornima University,"B.Tech (Computer Science, Civil, Electrical, Electronics & Communication, Mechanical), MBA (Marketing, Finance)",Jaipur,"Plot No. IS-2027 to 2031, Ramchandrapura, Sitapura Extension, Jaipur, Rajasthan 303905",+91-8875666617 | info@poornima.edu.in,https://www.poornima.edu.in/,Rajasthan
18,Rajasthan College of Engineering for Women,"B.Tech (Computer Science, Electrical, Electronics & Communication, IT), MBA (Marketing, Finance)",Jaipur,"Bhankrota, Ajmer Road, Jaipur, Rajasthan 302026",+91-141-2251276 | info@rcew.ac.in,https://www.rcew.ac.in/,Rajasthan
19,Jaipur Institute of Engineering and Management,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"NH-8, Ajmer Road, Gadota, Jaipur, Rajasthan 302009",+91-141-5190850 | jiemjaipur@gmail.com,https://www.jiemjaipur.org/,Rajasthan
20,Global Institute of Technology,"B.Tech (Computer Science, Electrical, Electronics & Communication, Mechanical, AI & DS)",Jaipur,"ITS-1 & ITS-2, IT Park, EPIP, Sitapura, Jaipur, Rajasthan 302022",+91-9314050477 | director@gitjaipur.com,https://www.gitjaipur.com/,Rajasthan
21,Rajasthan Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, IT)",Jaipur,"Bhankrota, Ajmer Road, Jaipur, Rajasthan 302026",+91-141-2250066 | rietjaipur@rietjaipur.ac.in,https://www.rietjaipur.ac.in/,Rajasthan
22,Rajasthan Technical University,"B.Tech (through affiliates), MBA",Kota,"Rawatbhata Road, Akelgarh, Kota, Rajasthan 324010",+91-744-2473003 | registrar@rtu.ac.in,https://www.rtu.ac.in/,Rajasthan
23,Arya Institute of Engineering and Technology,"B.Tech (Computer Science, Electrical, Electronics & Communication, Mechanical, IT)",Jaipur,"SP-40, RIICO Industrial Area, Kukas, Jaipur, Rajasthan 302028",+91-9001992251 | info@aryainstitutejaipur.com,https://www.aryainstitutejaipur.com/,Rajasthan
24,Government Engineering College Ajmer,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical), MBA",Ajmer,"NH-8, Barliya Circle, Near Nareli Temple, Ajmer, Rajasthan 305025",+91-145-2671800 | principal@ecajmer.ac.in,https://www.ecajmer.ac.in/,Rajasthan
25,MBM University,"B.Tech (Civil, Computer Science, Electrical, Electronics, Mechanical, Mining, Chemical), MBA",Jodhpur,"Air Force Area, Jodhpur, Rajasthan 342011",+91-291-2514790 | registrar@mbmu.ac.in,https://www.mbm.ac.in/,Rajasthan
26,Government Engineering College Bikaner,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Bikaner,"Karni Industrial Area, Pugal Road, Bikaner, Rajasthan 334004",+91-151-2253404 | principal@ecb.ac.in,https://www.ecb.ac.in/,Rajasthan
27,Engineering College Bharatpur,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Bharatpur,"Village Shyorana, Near Sewar, NH-21, Bharatpur, Rajasthan 321303",+91-5644-260310 | principalecbharatpur@gmail.com,https://www.ecbharatpur.ac.in/,Rajasthan
28,Government Engineering College Jhalawar,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Jhalawar,"Village Chandlai, Sunel Road, Tehsil-Jhalrapatan, Jhalawar, Rajasthan 326023",+91-743-2428121 | gecjwr@yahoo.com,https://www.gecj.ac.in/,Rajasthan
29,Government Engineering College Barmer,"B.Tech (Civil, Computer Science, Electrical, Mechanical, Petroleum)",Barmer,"NH-68, Jaisalmer Road, Jajiya, Barmer, Rajasthan 344001",+91-2982-230999 | gecbarmer@gmail.com,https://www.gecbarmer.ac.in/,Rajasthan
30,College of Technology and Engineering Udaipur,"B.Tech (Agricultural, Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Mining)",Udaipur,"University Campus, Udaipur, Rajasthan 313001",+91-294-2470837 | deanctae@mpuat.ac.in,https://www.ctae.ac.in/,Rajasthan
31,Jaipuria Institute of Management,"PGDM (Marketing, Finance, HR, Operations, Business Analytics)",Jaipur,"1, Bambala Institutional Area, Pratap Nagar, Sanganer, Jaipur, Rajasthan 302033",+91-141-4771300 | admissions@jaipuria.ac.in,https://www.jaipuria.ac.in/jaipur/,Rajasthan
32,Department of Management Studies MNIT,"MBA (Marketing, Finance, HR, Operations)",Jaipur,"JLN Marg, Jaipur, Rajasthan 302017",+91-141-2529023 | hod.dms@mnit.ac.in,https://mnit.ac.in/dms/,Rajasthan
33,Taxila Business School,"PGDM (Business Analytics, Marketing, Finance)",Jaipur,"Sector-9, Mandir Marg, Mansarovar, Jaipur, Rajasthan 302020",+91-9649222444 | admission@taxila.in,https://taxila.in/,Rajasthan
34,Apex University,"MBA (Healthcare & Hospital Management, Marketing, Finance)",Jaipur,"Jaipur-Ajmer Express Way, Jaipur, Rajasthan 303002",+91-141-6660999 | admission@apexuniversity.co.in,https://www.apexuniversity.co.in/,Rajasthan
35,Poddar Group of Institutions,"MBA (Marketing, Finance, HR)",Jaipur,"Sector-7, Zone-75, Shipra Path, Mansarovar, Jaipur, Rajasthan 302020",+91-141-2786105 | admission@poddarinstitute.org,https://www.poddarinstitute.org/,Rajasthan
36,Hari Shankar Singhania School of Business,PGDM (Management),Jaipur,"Prithviraj Nagar, Opp. Unitech, Ajmer Road, Jaipur, Rajasthan 302024",+91-141-7104904 | admissions@jk Lakshmipatuniversity.ac.in,https://www.jklu.ac.in/institute/iihsb/,Rajasthan
37,NIMT Institute of Management,"PGDM (Marketing, Finance, HR)",Jaipur,"Kotputli, Jaipur-Delhi Highway, Jaipur, Rajasthan 303108",+91-1422-294007 | admissions@nimt.ac.in,https://nimt.ac.in/,Rajasthan
38,Poddar Management and Technical Campus,"MBA (Marketing, Finance, HR)",Jaipur,"Gram - Fatehpuravas Vatika, Sanganer, Jaipur, Rajasthan 303905",+91-141-2786847 | admission@poddarcollege.com,https://www.poddarcollege.com/,Rajasthan
39,Shekhawati Group of Institutions,"MBA (Business Analytics, Marketing, Finance)",Sikar,"Behind Circuit House, Jaipur Road, Sikar, Rajasthan 332001",+91-1572-259024 | info@shekhawatigroup.org,https://www.shekhauni.ac.in/,Rajasthan
40,Online Manipal,"MBA (Pharmaceutical Management, Marketing, Finance)",Jaipur,"Manipal University Jaipur Campus, Dehmi Kalan, Jaipur, Rajasthan 303007",+91-8003100888 | admissions@onlinemanipal.com,https://www.onlinemanipal.com/,Rajasthan
41,Mohanlal Sukhadia University,"MBA (Marketing, Finance, HR)",Udaipur,"Ganeshpuri, Udaipur, Rajasthan 313001",+91-294-2471035 | registrar@mlsu.ac.in,https://www.mlsu.ac.in/,Rajasthan
42,NIMS University,"MBA (Marketing, Finance, HR)",Jaipur,"Jaipur-Delhi Highway, Shobha Nagar, Jaipur, Rajasthan 303121",+91-9116010416 | admissions@nimsuniversity.org,https://nimsuniversity.org/,Rajasthan
43,Mewar University,"MBA (Finance, Marketing, HR)",Chittorgarh,"NH - 48 Gangrar, Chittorgarh, Rajasthan 312901",+91-1471-220881 | admissions@mewaruniversity.org,https://www.mewaruniversity.org/,Rajasthan
44,Jagannath University,"MBA (Marketing, Finance, HR)",Jaipur,"IP-2 & 3, Phase IV, Sitapura Industrial Area, Opp. Chokhi Dhani, Jaipur, Rajasthan 302022",+91-141-4071552 | admission@jagannathuniversity.org,https://www.jagannathuniversity.org/,Rajasthan
45,St. Xavier's College Jaipur,"MBA (Marketing, Finance, HR)",Jaipur,"Hathroi Fort Road, Jaipur, Rajasthan 302001",+91-141-2370296 | xaviersjaipur@gmail.com,https://www.stxaviersjaipur.org/,Rajasthan
46,Geetanjali Institute of Technical Studies,"MBA (Financial Management, Marketing, HR)",Udaipur,"Airport Road, Dabok, Udaipur, Rajasthan 313022",+91-294-2657800 | admissions@gits.ac.in,https://www.gits.ac.in/,Rajasthan
47,Jodhpur Institute of Engineering and Technology,"MBA (Marketing, Finance, HR)",Jodhpur,"NH-65, Pali Road, Mogra, Jodhpur, Rajasthan 342802",+91-291-2868152 | info@jietjodhpur.ac.in,https://www.jietjodhpur.ac.in/,Rajasthan
48,International School of Informatics and Management,"MBA (Marketing, Finance, HR)",Jaipur,"Sector-12, Mahaveer Marg, Mansarovar, Jaipur, Rajasthan 302020",+91-141-2781154 | iiim@iisuniv.ac.in,https://iisjaipur.org/iiim/,Rajasthan
49,Government Engineering College Bharatpur,"MBA (Marketing, Finance, HR)",Bharatpur,"Village Shyorana, Near National Highway 21, Bharatpur, Rajasthan 321303",+91-5644-260310 | principalgecbharatpur@gmail.com,https://www.gecbharatpur.ac.in/,Rajasthan
50,Surendera Group of Institutions,"MBA (Marketing, Finance, HR)",Sriganganagar,"H. H. Gardens, Sri Ganganagar, Rajasthan 335001",+91-154-2440071 | info@sgi.org.in,https://sgi.org.in/,Rajasthan
51,Chaudhary Charan Singh National Institute of Agricultural Marketing,PGDM (Agri-Business Management),Jaipur,"Bambala, Kota Road, Jaipur, Rajasthan 302033",+91-141-2770027 | dgniam@hotmail.com,https://www.ccsniam.gov.in/,Rajasthan
52,Arya College of Engineering and IT,"MBA (Operations & Supply Chain Management, Marketing, Finance)",Jaipur,"SP-40, RIICO Industrial Area, Kukas, Jaipur, Rajasthan 302028",+91-9001992251 | info@aryacollege.org,https://www.aryacollege.in/,Rajasthan
53,Biyani Institute of Science and Management,"MBA (Marketing, Finance, HR)",Jaipur,"R-4, Sector-3, Vidhyadhar Nagar, Jaipur, Rajasthan 302039",+91-141-2338591 | director@bisma.in,https://www.bisma.in/,Rajasthan
54,Regional College,"MBA (Finance, Marketing, HR)",Jaipur,"ISI-17, Sitapura Institutional Area, Sitapura, Jaipur, Rajasthan 302022",+91-141-2771731 | info@regional-college.com,https://www.regional-college.com/,Rajasthan
55,Aishwarya College,"MBA (Marketing, Finance, HR)",Jodhpur,"A-527, Hiran Magri, Sector-11, Udaipur, Rajasthan 313002",+91-294-2460555 | aishwaryacollege@gmail.com,https://aishwaryacollege.edu.in/,Rajasthan
56,Biff and Bright College of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"VP-Padasoli, NH-52, Dudu, Jaipur, Rajasthan 303008",+91-1428-218596 | info@bbcetindia.org,https://www.bbcetindia.org/,Rajasthan
57,Bal Krishna Institute of Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Kota,"RIICO Institutional Area, Ranpur, Jhalawar Road, Kota, Rajasthan 325003",+91-744-2460671 | bkitkota@gmail.com,https://www.bkitkota.com/,Rajasthan
58,BL M Institute of Technology and Management Sciences,"B.Tech (Computer Science, Electronics & Communication, Mechanical)",Jhunjhunu,"Rajota, Khetri, Jhunjhunu, Rajasthan 333503",+91-1593-298013 | blmitms@gmail.com,https://blmims.com/,Rajasthan
59,Buddha Group of Institutions,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Udaipur,"Seth Ji Ki Kundal, Balicha, NH-8 Bypass, Udaipur, Rajasthan 313001",+91-294-6450003 | info@buddmainstitutes.com,https://www.buddhagroup.org/,Rajasthan
60,CLG Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Pali,"Jawai Bandh Road, Sumerpur, Pali, Rajasthan 306902",+91-2933-258300 | clgsansthan@gmail.com,https://www.clgsansthan.com/,Rajasthan
61,Chartered Institute of Technology,"B.Tech (Computer Science, Electrical, Electronics & Communication, Mechanical)",Sirohi,"Kesar Pura, Abu Road, Sirohi, Rajasthan 307026",+91-2974-298088 | info@citabu.ac.in,https://www.citabu.ac.in/,Rajasthan
62,Dr Radhakrishnan Institute of Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"Kalwara, Near Mahindra World City (SEZ), Jaipur - Ajmer Expressway, Jaipur, Rajasthan 302037",+91-141-2587501 | info@dritjaipur.org,https://www.dritjaipur.org/,Rajasthan
63,Dungarpur College of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Dungarpur,"Bhandariya Ghata, Simalwara Road, Dungarpur, Rajasthan 314001",+91-2964-291591 | dcetdpr@gmail.com,https://dcetdungarpur.com/,Rajasthan
64,Gurukul Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Kota,"IPB-13, RIICO Institutional Area, Ranpur, Kota, Rajasthan 325003",+91-744-2208900 | info@gurukulkota.org,https://www.gurukulkota.org/,Rajasthan
65,Government Engineering College Dholpur,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Dholpur,"Village Barpura, Bari Road, Dholpur, Rajasthan 328024",+91-5642-211070 | gcdholpur@gmail.com,https://www.gecdholpur.ac.in/,Rajasthan
66,Government Engineering College Tonk,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Tonk,"Village Borkhandi, NH-12, Kota Road, Tonk, Rajasthan 304001",+91-1435-249480 | gectonk@gmail.com,https://www.gectonk.ac.in/,Rajasthan
67,Government Engineering College Baran,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Baran,"Village Sharda, NH-27, Kota Road, Baran, Rajasthan 325205",+91-7453-230354 | gecbaran@gmail.com,https://www.gecbaran.ac.in/,Rajasthan
68,Keystone Group of Institutions,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jhunjhunu,"Pilod, Surajgarh, Jhunjhunu, Rajasthan 333029",+91-1594-222100 | info@keystonegroup.in,https://www.keystonegroup.in/,Rajasthan
69,Laxmi Devi Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Alwar,"Alwar-Tijara-Delhi Highway, Chikani, Alwar, Rajasthan 301028",+91-144-2883473 | ldiet_alwar@rediffmail.com,https://www.ldiet.org/,Rajasthan
70,Maharaja College of Engineering,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Udaipur,"Airport Road, Debari, Udaipur, Rajasthan 313024",+91-294-2491534 | info@maharajacolleges.org,https://www.maharajacolleges.org/,Rajasthan
71,Maharishi Arvind Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Jaipur,"Sector 7, Madhyam Marg, Mansarovar, Jaipur, Rajasthan 302020",+91-141-2784311 | info@maietjaipur.org,https://www.maietjaipur.org/,Rajasthan
72,Marwar Engineering College and Research Centre,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jodhpur,"Village Kharda Bhandu, Barmer Road, NH-112, Jodhpur, Rajasthan 342001",+91-291-2625600 | office@mecrc.org,https://www.mecrc.org/,Rajasthan
73,Marwar Institute of Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jodhpur,"Village Kharda Bhandu, Barmer Road, NH-112, Jodhpur, Rajasthan 342001",+91-291-2625600 | info@mitjodhpur.org,https://www.mitjodhpur.org/,Rajasthan
74,MJRP College of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"SP 2&3 Kant Kalwar, RIICO Industrial Area, NH-8, Jaipur, Rajasthan 302019",+91-141-2294686 | info@mjrpuniversity.ac.in,https://mjrpuniversity.ac.in/,Rajasthan
75,Modi Institute of Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Kota,"Nayagaon, Rawatbhata Road, Kota, Rajasthan 324010",+91-744-6999788 | mitkota1@gmail.com,https://mitkota.com/,Rajasthan
76,Mody University of Science and Technology,"B.Tech (Computer Science, Electrical, Electronics & Communication, Mechanical, Biomedical)",Sikar,"Lakshmangarh, Sikar, Rajasthan 332311",+91-1573-225001 | admissions@modyuniversity.ac.in,https://www.modyuniversity.ac.in/,Rajasthan
77,Nathdwara Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Rajsamand,"Upali Oden, Nathdwara, Rajsamand, Rajasthan 313301",+91-2953-233238 | info@nietudaipur.com,https://www.nietudaipur.com/,Rajasthan
78,Northern Institute of Engineering Technical Campus,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Alwar,"Village Baldevbas, Panchayat Chikani, Tehsil Bahadurpur, Alwar, Rajasthan 301028",+91-144-2980950 | nietalwar@gmail.com,https://www.nietalwar.com/,Rajasthan
79,Pacific Academy of Higher Education and Research University,"B.Tech (Civil, Computer Science, Electrical, Mechanical, Mining)",Udaipur,"Pacific Hills, Pratapnagar Extn., Airport Road, Debari, Udaipur, Rajasthan 313003",+91-294-3065000 | info@pahersuniversity.org,https://www.pahersuniversity.org/,Rajasthan
80,Pacific College of Engineering,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Udaipur,"Pacific Hills, Pratapnagar Extn., Airport Road, Debari, Udaipur, Rajasthan 313003",+91-9672970940 | info@pacific-ce.ac.in,https://www.pacific-ce.ac.in/,Rajasthan
81,Pacific Institute of Engineering,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Udaipur,"Pacific Hills, Pratapnagar Extn., Airport Road, Debari, Udaipur, Rajasthan 313003",+91-9672978002 | info@piepacific.ac.in,https://www.piepacific.ac.in/,Rajasthan
82,Pacific Institute of Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Udaipur,"Pacific Hills, Pratapnagar Extn., Airport Road, Debari, Udaipur, Rajasthan 313003",+91-9672970940 | info@pacific-it.ac.in,https://www.pacific-it.ac.in/,Rajasthan
83,Pink City Engineering College and Research Centre,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"Gawa ka Bas, Ganga Ji ki Dhani, Watika, Sanganer, Jaipur, Rajasthan 303905",+91-141-2730621 | pcecrcjaipur@gmail.com,https://www.pcecrc.com/,Rajasthan
84,Poornima Group of Institutions,"B.Tech (Computer Science, Electrical, Electronics & Communication, Mechanical)",Jaipur,"BT-1, Bio Technology Park, Sitapura, Jaipur, Rajasthan 302022",+91-141-2770792 | info@poornima.org,https://www.poornima.org/,Rajasthan
85,Poornima Institute of Engineering and Technology,"B.Tech (Computer Science, Electrical, Electronics & Communication)",Jaipur,"ISI-2, RIICO Institutional Area, Sitapura, Jaipur, Rajasthan 302022",+91-141-2770790 | info@poornima.org,https://www.poornima.org/,Rajasthan
86,Pratap University,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"Sunderpura, Chandwaji, Delhi - Jaipur Highway, Jaipur, Rajasthan 303104",+91-8003097012 | admissions@pratapuniversity.in,https://www.pratapuniversity.in/,Rajasthan
87,R N Modi Engineering College,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Kota,"Kota - Jhalawar Road, Ranpur, Kota, Rajasthan 325003",+91-744-2471999 | rmeckota@rmeckota.com,https://www.rmeckota.com/,Rajasthan
88,Rajdhani Engineering College,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"Rohini Nagar Phase-I, Sanganer Renwal Road, Jaipur, Rajasthan 303904",+91-141-2765891 | info@recjaipur.ac.in,https://www.recjaipur.com/,Rajasthan
89,Rajdhani Institute of Technology and Management,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"Rohini Nagar Phase-I, Sanganer Renwal Road, Jaipur, Rajasthan 303904",+91-141-2765891 | info@recjaipur.ac.in,https://www.recjaipur.com/,Rajasthan
90,Sawai Madhopur College of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Sawai Madhopur,"Village-Thingla, Behind Circuit House, Sawai Madhopur, Rajasthan 322001",+91-7462-224201 | info@smcet.in,https://www.smcet.in/,Rajasthan
91,Shekhawati Engineering College Dundlod,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jhunjhunu,"Sikar-Jhunjhunu Road, Dundlod Phatak, Jhunjhunu, Rajasthan 333702",+91-1594-225375 | info@secd.ac.in,https://www.secd.ac.in/,Rajasthan
92,Shekhawati Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical, Agricultural)",Sikar,"Behind Circuit House, Jaipur Road, Sikar, Rajasthan 332001",+91-1572-259024 | info.sgisikar@gmail.com,https://sgisikar.org/,Rajasthan
93,Shree Bhawani Niketan Institute of Technology and Management,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Jaipur,"Maharao Shekha Circle, Near Chomu Pulia, Sikar Road, Jaipur, Rajasthan 302039",+91-141-2233860 | info@sbnitm.com,https://www.sbnitm.com/,Rajasthan
94,Shri Digamber Institute of Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Dausa,"NH-11, Near Bhandarej Mod, Dausa, Rajasthan 303501",+91-1427-283424 | sditdausa@gmail.com,https://www.sditdausa.in/,Rajasthan
95,Shrinathji Institute of Technology and Engineering,"B.Tech (Computer Science, Electrical, Electronics & Communication, Mechanical)",Rajsamand,"Upali Oden, Nathdwara, Rajsamand, Rajasthan 313301",+91-2953-233238 | info_shrinathji_institute@yahoo.co.in,https://www.shrinathjiinstitute.com/,Rajasthan
96,Shyam Institute of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Dausa,"Dehlal - Deoli, Tehsil - Lalsot, Dausa, Rajasthan 303511",+91-1427-282100 | shyamiet@gmail.com,https://www.shyamiet.com/,Rajasthan
97,Siddhi Vinayak College of Science and Higher Education,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Alwar,"E1 A1 and B1, RIICO Industrial Area, Alwar, Rajasthan 301030",+91-144-5123000 | admission@svcealwar.com,https://www.siddhivinayakgroup.ac.in/,Rajasthan
98,SLBS Engineering College,"B.Tech (Civil, Computer Science, Electrical, Mechanical, Petroleum)",Jodhpur,"Jodhpur-Jaipur Highway, Near Dangiyawas, Jodhpur, Rajasthan 342027",+91-2922-281105 | info@slbsjodhpur.com,https://slbsjodhpur.com/,Rajasthan
99,Sobhasaria Engineering College,"B.Tech (Civil, Computer Science, Electrical, Mechanical)",Sikar,"NH 52, Gokulpura, Sikar, Rajasthan 332403",+91-1572-222650 | info@secs.ac.in,https://www.secs.ac.in/,Rajasthan
100,Sri Balaji College of Engineering and Technology,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical)",Jaipur,"Benad Road, Macheda, Jaipur, Rajasthan 302013",+91-141-2972260 | admin@sbss.in,https://www.sbss.in/,Rajasthan
